Topic,Level,Description,Module
"Category
(Baseline)",Brand,"▪ Supercategories: Add Super Categories / Edit & Delete Super Categories

▪ Categories: Add Categories / Edit & Delete Categories / Addon Properties
Categories have ""checkbox"" properties to enable a set of properties example: Addons/combos/not in billing etc for that respective category

Addons - categories to be used to hold addons
Combo - category to be used for combo mapping of items
Not in weborder - exclude items from web ordering platform(posist weborder)
Not in Billing - category doesn't show on regular billing page for punching
Addon as Normal item - Addons can be tagged as addon's and can be punched as a normal item",Admin
"Item
(Baseline)",Brand,"▪ Add Items / Search to Edit & Delete Items
Mandatory Fields marked with ""X or dropdown"" - Item Name/ Item Number/ Category/ Rate

Item Name - enter name of item *Mandatory*
Item UID - 1 time Unique Code - type first digit, and manually choose the number from the dropdown list *Mandatory*
Universal Item - not in use
Description - Item Description can be provided - which would reflect under Aggregator websites
Services - portion for number of people
Item Number - item number sequencing
Rate - cost of the item *Mandatory*
Fixed Cost - as per recipe a cost can be defined
SAP code - for Account software SAP integration
Veg/Non veg - tagging mark
Not in Sweet Shop - ""Sweet Shop configuration(deployment)"" - Sell in qtys - 200gms/500gms/1kg
Retail Items - can be used for MRP retail items (for Stock Raw materials)
Package - would be used only banquet module (Buffet package 1, buffet package 2)
Has Variant - Half/ full versions of items - (used with Aggregators Menu management)",Admin
"Comments
(Baseline)",Brand,"Can create commonly used comment tags such as, ""Extra Ice/ no Sugar/ no onions etc"" which can be tagged onto individual items for use at the time of taking an order
▪ Add, Edit & Delete Comments
▪ Comment Mapping for use on front end POS",Admin
"Addons Map
(Baseline)",Brand,"Create Addons under Items and assign them into an ""Addon Properties Category""

Under Addon Map - all addons will show on the left.
Tag/map items to the specific addons",Admin
"Map Section
(Baseline)",Brand,"Create & bifurcate menu items as per sections Example: Beverages, Chinese, Continental, Indian, Pastas & Pizzas etc
This is used for reporting purposes for comparison of different groups of items

Can Create and define Sections, Edit & Delete Sections",Admin
"Map Liquor
(Brief)",Brand,"Mapping all items as regular food or liquor
Used for reports and also Splitting bills for customers by food/liquor",Admin
"Tax
(Baseline)",Brand,"Create & Define Taxes, example GST / VAT, service tax or other charges.
Define the tax being percentage/fixed amount.


Edit & Delete Tax / Tax Properties Function available

Can define properties: gst/gst on serv. charge/mandatory tax/charge",Admin
"Assigning Item Images
(Baseline)",Brand,"Upload Item images and assign to specific items.
Be sure to select checkbox ""Save as Original Image"" before assigning.

Used for Zomato and few other aggregators with two way integration
Item Image size Zomato: 400x400 - 1600x1600 pixels; less than 5mb image size",Admin
"Make Combo
(Baseline)",Brand,"Create Combo items under Items and assign them into a ""Combo Properties Category""

Group - add groups to create a group of options for the combo - example: Main Course group/ drinks group/ desserts group
Edit name of group by clicking on Group 1 (left hand side)
Select Category and choose either all items / a specific item from the Category.
""+"" can be used to add more choices within the group
Min / Max qty - can be assigned to increase / decrease number of items that can be selected in the group
Item Max qty - place a max qty of each item that can be selected

Price - any additional price to be charged for the group can be entered. Default is 0 
Differential Pricing option can be selected to add the items Original Pricing


Level - if within a group, want to add 1st:base level, 2nd: Upgrade level, etc... with different pricing
Tag update choices as ""upgrade level""

Press Next: to assign Date range & other customizations",Admin
"Item Barcode
(If Applicable)",Brand,"Used for QR Menu Integration /Barcode Integration.
Used to obtain barcodes to print for each item",Admin
"Item Custom Group
(If Applicable)",Brand,Add Custom Groups - for reporting purposes,Admin
"Item Association
(If Applicable)",Brand,"Tag items associated to each other - for reporting purposes
Example: Burger, fries, coke etc",Admin
"Item Short Name
(Baseline)",Brand,Assign short forms for long names - especially useful for KOT/ KDS to avoid using too much printing space with large item names.,Admin
"Predefined Comment
(Brief)",Brand,"Create predefined comments for Void/ reprint, Complementary and other bill functionality.
",Admin
"Predefined Discount
(Brief)",Brand,Create Predefined discount with defined percentage values,Admin
"BTC
(Baseline)",Brand,"Or Bill To Company, gives access to creating companies and adding employees(with employee ID's) on a tab basis.

Can be used where multiple employees visit a restaurant on a credit basis.
Bills are later compiled and payment collected either by parties concerned or by the company at a later time(end of the month)

Settlement is made via the BTC section.",Admin
"Item Variant Mapping
(Baseline)",Brand,"Creating Items with ""Has Variant"" checkbox property assigns the items into this tab.

Ideally 3 or more items are created.
1 Base Item with 0 Pricing, checked as ""has variant""
Half and full shouldn't be tagged under ""has variant"" - but are mapped under this section to the respective base item.",Admin
Tags,Brand,Tags can be specifically designed and mapped to several items.,Admin
Format Level,,Format -  Activate/Deactivate Categories  & Apply Taxes & Packaging Charges  to Categories & Items,Admin
"Item
(Baseline)",Format,Used to search and review items created at the Brand Level,Admin
"Tabs
(Baseline)",Format,"Create & manage Tabs(Main Billing Interface) for variety of POS operations:
Table/ Take Out/ Delivery/ Banquet

Names and Details can be specified with the Properties of Operations selected.
Priority can be Determined for the order of the Tab
",Admin
"Tax
(Baseline)",Format,"Taxes created at the Brand Level, can be assigned to the relevant Tabs.
Specific Tabs can have taxes associated with their operations. Example Service Tax is only for Dine, but not delivery

▪ Cascade tax can be stacked. Example GST on Service Tax.

All taxes can be edited, deleted or reassigned to relevant tabs.",Admin
"Tab-Category Mapping
(Baseline)",Format,"Used to Activate ""Categories"" from the brand level as Active or inactive status in each tab

Also used for Category-level Taxation basis tax bracket required",Admin
"Item-Tax Mapping
(Baseline)",Format,"Used to further apply tax brackets to specific items within Categories.

Can disable items without taxes example MRP items.",Admin
Banquet Services -> taxes,Format,"For Banquet Module.
Used to Assign Taxes for Additional Banquet Services, eg - Decorations, DJ, Compare etc",Admin
Cluster level,,,Admin
"Item
(Baseline)",Cluster,"Review all items available within the brand.
Can Search & Activate / Deactivate items CLUSTER WISE from this section",Admin
"Tabs-Item
(Baseline)",Cluster,"Can be used to configure rates with items for separate tabs
Example Dine in can have a separate rate from Delivery/ Takeaway tabs.

Individual items can also be activated/ deactivated",Admin
